scenario,trace,icount,"rss, kb","time, s",Ncomp,Pcomp,Prss,V,processing,verification
Gfx9,3,5.84E+07,2.58E+07,635.26,535151,9.16E-03,4.42E-01,9.20E+04,1,1
Gfx9,4,4.61E+07,2.06E+07,508.48,439379,9.53E-03,4.48E-01,9.07E+04,1,1
Gfx9,5,3.75E+07,1.67E+07,415.38,352015,9.40E-03,4.45E-01,9.02E+04,1,1
Gfx9,6,4.24E+07,1.89E+07,469.72,399453,9.41E-03,4.45E-01,9.04E+04,1,1
Gfx9,7,4.02E+07,1.78E+07,446.32,357419,8.88E-03,4.43E-01,9.02E+04,1,1
Gfx9,8,3.86E+07,1.72E+07,418.86,364423,9.44E-03,4.44E-01,9.21E+04,1,1
Gfx9,9,3.90E+07,1.73E+07,424.49,358628,9.19E-03,4.44E-01,9.19E+04,1,1
Gfx9,10,4.09E+07,1.81E+07,447.61,376594,9.20E-03,4.43E-01,9.14E+04,1,1
Gfx10,1,6.45E+07,2.79E+07,686.68,585745,9.08E-03,4.33E-01,9.39E+04,1,1
Gfx10,2,8.48E+07,3.66E+07,876.15,672177,7.93E-03,4.32E-01,9.68E+04,1,1
Gfx10,3,3.70E+07,1.62E+07,400.33,416734,1.13E-02,4.38E-01,9.24E+04,1,1
Gfx10,4,8.01E+07,3.49E+07,833.98,677795,8.46E-03,4.36E-01,9.60E+04,1,1
Gfx10,5,4.27E+07,1.90E+07,461.19,439316,1.03E-02,4.44E-01,9.27E+04,1,1
Gfx10,6,4.67E+07,2.08E+07,518.81,450827,9.65E-03,4.45E-01,9.00E+04,1,1
Gfx10,7,6.48E+07,2.85E+07,714.23,607226,9.36E-03,4.40E-01,9.08E+04,1,1
Gfx10,8,4.74E+07,2.12E+07,519.74,493679,1.04E-02,4.47E-01,9.12E+04,1,1
Gfx10,9,4.56E+07,2.04E+07,504.59,450026,9.86E-03,4.47E-01,9.04E+04,1,0
Gfx10,10,4.57E+07,2.05E+07,519.51,458110,1.00E-02,4.48E-01,8.80E+04,1,1
Logic16,1,1.03E+07,5.04E+06,117.36,430071,4.17E-02,4.88E-01,8.78E+04,1,1
Logic16,2,1.10E+07,5.43E+06,129.8,649350,5.89E-02,4.92E-01,8.49E+04,1,0
Logic16,3,1.18E+07,5.79E+06,139.81,659974,5.59E-02,4.90E-01,8.44E+04,1,0
Logic16,4,1.34E+07,6.46E+06,156.93,758616,5.67E-02,4.83E-01,8.53E+04,1,1
Logic16,5,1.37E+07,6.64E+06,161.3,805679,5.87E-02,4.84E-01,8.51E+04,1,0
Logic16,6,2.13E+07,1.02E+07,241.63,954789,4.48E-02,4.78E-01,8.82E+04,1,1
Logic16,7,1.42E+07,6.72E+06,161,557977,3.93E-02,4.73E-01,8.82E+04,1,1
Logic16,8,1.17E+07,5.66E+06,136.81,615738,5.27E-02,4.84E-01,8.54E+04,1,1
Logic16,9,1.19E+07,5.81E+06,136.99,771770,6.49E-02,4.89E-01,8.68E+04,1,1
Logic16,10,1.57E+07,7.57E+06,185.33,884978,5.64E-02,4.83E-01,8.46E+04,1,1
Logic17,1,1.54E+07,7.00E+06,166.13,702075,4.55E-02,4.53E-01,9.29E+04,1,1
Logic17,2,2.30E+07,1.02E+07,234.45,899386,3.91E-02,4.42E-01,9.82E+04,1,0
Logic17,3,1.54E+07,6.59E+06,147.86,460052,3.00E-02,4.29E-01,1.04E+05,1,0
Logic17,4,1.60E+07,7.27E+06,166.72,893468,5.59E-02,4.55E-01,9.58E+04,1,1
Logic17,5,2.47E+07,1.12E+07,255.83,1165835,4.71E-02,4.53E-01,9.67E+04,1,1
Logic17,6,2.08E+07,9.27E+06,205.65,880899,4.24E-02,4.46E-01,1.01E+05,1,1
Logic17,7,2.28E+07,1.03E+07,241.27,1120627,4.92E-02,4.52E-01,9.44E+04,1,1
Logic17,8,1.50E+07,6.85E+06,158.12,737549,4.90E-02,4.55E-01,9.52E+04,1,1
Logic17,9,1.30E+07,6.00E+06,135.72,501564,3.85E-02,4.60E-01,9.60E+04,1,0
Logic17,10,1.59E+07,7.13E+06,166.61,700951,4.42E-02,4.50E-01,9.52E+04,1,0
Logic19,1,2.63E+07,8.60E+06,186.71,11763,4.46E-04,3.26E-01,1.41E+05,1,1
Logic19,2,3.95E+07,1.27E+07,286.69,19438,4.92E-04,3.21E-01,1.38E+05,1,0
Logic19,3,3.95E+07,1.27E+07,279.05,18833,4.76E-04,3.21E-01,1.42E+05,1,0
Logic19,4,3.83E+07,1.23E+07,273.92,17489,4.57E-04,3.20E-01,1.40E+05,1,1
Logic19,5,4.06E+07,1.30E+07,289.74,19045,4.69E-04,3.21E-01,1.40E+05,1,1
Logic19,6,3.78E+07,1.22E+07,272.26,20314,5.38E-04,3.23E-01,1.39E+05,1,0
Logic19,7,3.40E+07,1.11E+07,243.12,18102,5.33E-04,3.27E-01,1.40E+05,1,1
Logic19,8,4.50E+07,1.45E+07,320.41,22894,5.09E-04,3.23E-01,1.41E+05,1,1
Logic19,9,3.71E+07,1.20E+07,261.22,18566,5.00E-04,3.22E-01,1.42E+05,1,0
